Journal,URL,journal_abbr,search_abbr
Acta Oeconomica et Informatica,https://ideas.repec.org/s/ags/aoeisl.html,aoeisl,
Acta Oeconomica Pragensia,https://ideas.repec.org/s/prg/jnlaop.html,jnlaop,
Acta Oeconomica,https://ideas.repec.org/s/aka/aoecon.html,aoecon,
Acta Universitatis Bohemiae Meridionalis,https://ideas.repec.org/s/boh/actaub.html,actaub,
Acta Universitatis Danubius. OEconomica,https://ideas.repec.org/s/dug/actaec.html,actaec,
"Acta Universitatis Nicolai Copernici, Ekonomia",https://ideas.repec.org/s/cpn/umkanc.html,umkanc,
"Acta Universitatis Sapientiae, Economics and Business",https://ideas.repec.org/s/vrs/auseab.html,auseab,
ACTA VSFS,https://ideas.repec.org/s/prf/journl.html,journl,
Action Learning: Research and Practice,https://ideas.repec.org/s/taf/alresp.html,alresp,
Actual Problems of Economics and Law Актуальные проблемы экономики и права,https://ideas.repec.org/s/scn/029045.html,029045,
Administration,https://ideas.repec.org/s/vrs/admini.html,admini,
Administrative Consulting,https://ideas.repec.org/s/acf/journl.html,journl,
Administrative Sciences,https://ideas.repec.org/s/gam/jadmsc.html,jadmsc,
Advanced Logistic systems,https://ideas.repec.org/s/pcz/alspcz.html,alspcz,
Advances in accounting,https://ideas.repec.org/s/eee/advacc.html,advacc,
Advances in Agriculture and Biology,https://ideas.repec.org/s/ags/advagr.html,advagr,
Advances in Complex Systems ACS),https://ideas.repec.org/s/wsi/acsxxx.html,acsxxx,
Advances in Data Analysis and Classification,https://ideas.repec.org/s/spr/advdac.html,advdac,
Advances in Decision Sciences,https://ideas.repec.org/s/aag/wpaper.html,wpaper,
Advances in Economics Education,https://ideas.repec.org/s/elg/aeejrn.html,aeejrn,
Advances in Management and Applied Economics,https://ideas.repec.org/s/spt/admaec.html,admaec,
Advances in Operations Research,https://ideas.repec.org/s/hin/jnlaor.html,jnlaor,
AEA Papers and Proceedings,https://ideas.repec.org/s/aea/apandp.html,apandp,aerpp
AEI Economic Perspectives,https://ideas.repec.org/s/aei/journl.html,journl,
Aestimum,https://ideas.repec.org/s/ags/iaal25.html,iaal25,
AFBM Journal,https://ideas.repec.org/s/ags/afbmau.html,afbmau,
Africagrowth Agenda,https://ideas.repec.org/s/afj/journ2.html,journ2,
African Development Review,https://ideas.repec.org/s/adb/adbadr.html,adbadr,
African Development Review,https://ideas.repec.org/s/bla/afrdev.html,afrdev,
African Economic History,https://ideas.repec.org/s/uwp/aeconh.html,aeconh,
"African Journal of Accounting, Auditing and Finance",https://ideas.repec.org/s/ids/ajaafi.html,ajaafi,
African Journal of Agricultural and Resource Economics,https://ideas.repec.org/s/ags/afjare.html,afjare,
African Journal of Commercial Studies,https://ideas.repec.org/s/cwk/ajocsk.html,ajocsk,
African Journal of Economic and Management Studies,https://ideas.repec.org/s/eme/ajemsp.html,ajemsp,
African Journal of Economic and Sustainable Development,https://ideas.repec.org/s/ids/ajesde.html,ajesde,
African Journal of Economic Review,https://ideas.repec.org/s/ags/afjecr.html,afjecr,
"African Journal of Food, Agriculture, Nutrition and Development AJFAND)",https://ideas.repec.org/s/ags/ajfand.html,ajfand,
African Journal of Frontiers of Economics and Mathematics,https://ideas.repec.org/s/lrq/journl.html,journl,
African Journal of Information and Knowledge Management,https://ideas.repec.org/s/bdu/oajikm.html,oajikm,
African Journal of Rural Development AFJRD),https://ideas.repec.org/s/ags/afjrde.html,afjrde,
"African Journal of Science, Technology, Innovation and Development",https://ideas.repec.org/s/taf/rajsxx.html,rajsxx,
Afro-Asian Journal of Finance and Accounting,https://ideas.repec.org/s/ids/afasfa.html,afasfa,
Agenda - A Journal of Policy Analysis and Reform,https://ideas.repec.org/s/acb/agenda.html,agenda,
AgLetter,https://ideas.repec.org/s/ags/frcagl.html,frcagl,
Agrarian South: Journal of Political Economy,https://ideas.repec.org/s/sae/agspub.html,agspub,
Agrarwirtschaft und Agrarsoziologie\ Economie et Sociologie Rurales,https://ideas.repec.org/s/ags/agrarw.html,agrarw,
Agregat: Jurnal Ekonomi dan Bisnis,https://ideas.repec.org/s/apn/agregt.html,agregt,
Agrekon,https://ideas.repec.org/s/ags/agreko.html,agreko,
Agrekon,https://ideas.repec.org/s/taf/ragrxx.html,ragrxx,
"AGRIBUSINESS AND RURAL AREAS - ECONOMY, INNOVATION AND GROWTH 2021 CONFERENCE PROCEEDINGS",https://ideas.repec.org/s/vra/pr2106.html,pr2106,
Agribusiness,https://ideas.repec.org/s/wly/agribz.html,agribz,
AGRICOLTURA ISTITUZIONI MERCATI,https://ideas.repec.org/s/fan/aimaim.html,aimaim,
Agricultural & Rural Studies,https://ideas.repec.org/s/ris/sccars.html,sccars,
Agricultural and Food Economics,https://ideas.repec.org/s/spr/agfoec.html,agfoec,
Agricultural and Resource Economics Review,https://ideas.repec.org/s/ags/arerjl.html,arerjl,
Agricultural and Resource Economics Review,https://ideas.repec.org/s/cup/agrerw.html,agrerw,
Agricultural and Resource Economics: International Scientific E-Journal,https://ideas.repec.org/s/ags/areint.html,areint,
Agricultural Development,https://ideas.repec.org/s/ags/agrdev.html,agrdev,
Agricultural Development,https://ideas.repec.org/s/ajn/agricu.html,agricu,
Agricultural Economics and Rural Development,https://ideas.repec.org/s/iag/reviea.html,reviea,
Agricultural Economics Research Review,https://ideas.repec.org/s/ags/aerrae.html,aerrae,
Agricultural Economics Review,https://ideas.repec.org/s/ags/aergaa.html,aergaa,
Agricultural Economics,https://ideas.repec.org/s/bla/agecon.html,agecon,
Agricultural Economics,https://ideas.repec.org/s/caa/jnlage.html,jnlage,
Agricultural Economics,https://ideas.repec.org/s/eee/agecon.html,agecon,
Agricultural Finance Review,https://ideas.repec.org/s/eme/afrpps.html,afrpps,
Agricultural Letter,https://ideas.repec.org/s/ags/frcagr.html,frcagr,
Agricultural Letter,https://ideas.repec.org/s/fip/fedhal.html,fedhal,
Agricultural Systems,https://ideas.repec.org/s/eee/agisys.html,agisys,
Agricultural Water Management,https://ideas.repec.org/s/eee/agiwat.html,agiwat,
Agriculture and Development Notes,https://ideas.repec.org/s/sag/seaadn.html,seaadn,
Agriculture and Human Values,https://ideas.repec.org/s/spr/agrhuv.html,agrhuv,
Agriculture,https://ideas.repec.org/s/gam/jagris.html,jagris,
AGRIS on-line Papers in Economics and Informatics,https://ideas.repec.org/s/ags/aolpei.html,aolpei,
Agroeconomia Croatica,https://ideas.repec.org/s/ags/csaeac.html,csaeac,
Al-Urban: Jurnal Ekonomi Syariah dan Filantropi Islam,https://ideas.repec.org/s/apn/alurbn.html,alurbn,
Algorithmic Finance,https://ideas.repec.org/s/ris/iosalg.html,iosalg,
Almanac of PhD Students,https://ideas.repec.org/s/dat/almphd.html,almphd,
Almanach Actual Issues in World Economics and Politics),https://ideas.repec.org/s/brv/almnch.html,almnch,
Alphanumeric Journal,https://ideas.repec.org/s/anm/alpnmr.html,alpnmr,
"Amber Waves:The Economics of Food, Farming, Natural Resources, and Rural America",https://ideas.repec.org/s/ags/uersaw.html,uersaw,
American Bankers Association,https://ideas.repec.org/s/ags/abajal.html,abajal,
American Business Review,https://ideas.repec.org/s/ris/ambsrv.html,ambsrv,
American Economic Journal: Applied Economics,https://ideas.repec.org/s/aea/aejapp.html,aejapp,aejapp
American Economic Journal: Economic Policy,https://ideas.repec.org/s/aea/aejpol.html,aejpol,aejpol
American Economic Journal: Macroeconomics,https://ideas.repec.org/s/aea/aejmac.html,aejmac,aejmac
American Economic Journal: Microeconomics,https://ideas.repec.org/s/aea/aejmic.html,aejmic,aejmic
American Economic Review: Insights,https://ideas.repec.org/s/aea/aerins.html,aerins,aeri
American Economic Review,https://ideas.repec.org/s/aea/aecrev.html,aecrev,aer
American Journal of Accounting,https://ideas.repec.org/s/bfy/oajacc.html,oajacc,
American Journal of Agricultural Economics APPENDICES,https://ideas.repec.org/s/ags/ajaeap.html,ajaeap,
American Journal of Agricultural Economics,https://ideas.repec.org/s/oup/ajagec.html,ajagec,
American Journal of Agricultural Economics,https://ideas.repec.org/s/wly/ajagec.html,ajagec,
American Journal of Agriculture,https://ideas.repec.org/s/bfy/ojtaja.html,ojtaja,
"American Journal of Arts, Social and Humanity Studies",https://ideas.repec.org/s/bfy/ajashs.html,ajashs,
American Journal of Business and Strategic Management,https://ideas.repec.org/s/cjk/oajbsm.html,oajbsm,
American Journal of Business,https://ideas.repec.org/s/eme/ajbpps.html,ajbpps,
"American Journal of Data, Information and Knowledge Management",https://ideas.repec.org/s/bfy/ajdikm.html,ajdikm,
American Journal of Economics and Business Administration,https://ideas.repec.org/s/abk/jajeba.html,jajeba,
American Journal of Economics and Sociology,https://ideas.repec.org/s/bla/ajecsc.html,ajecsc,
American Journal of Economics,https://ideas.repec.org/s/bfy/ojtaje.html,ojtaje,
American Journal of Education and Practice,https://ideas.repec.org/s/bfy/ojajep.html,ojajep,
American Journal of Finance and Accounting,https://ideas.repec.org/s/ids/amerfa.html,amerfa,
American Journal of Finance,https://ideas.repec.org/s/bfy/ojtajf.html,ojtajf,
American Journal of Health Economics,https://ideas.repec.org/s/tpr/amjhec.html,amjhec,ajhe
American Journal of Health Economics,https://ideas.repec.org/s/ucp/amjhec.html,amjhec,ajhe
American Journal of International Relations,https://ideas.repec.org/s/bfy/ojajir.html,ojajir,
American Journal of Law and Political Science,https://ideas.repec.org/s/cjk/ajlaps.html,ajlaps,
American Journal of Literature Studies,https://ideas.repec.org/s/bfy/ojajls.html,ojajls,
American Journal of Natural Sciences,https://ideas.repec.org/s/bfy/ojajns.html,ojajns,
American Journal of Physical Sciences,https://ideas.repec.org/s/bdu/ojajps.html,ojajps,
American Journal of Political Science,https://ideas.repec.org/s/wly/amposc.html,amposc,
American Journal of Public Health,https://ideas.repec.org/s/aph/ajpbhl.html,ajpbhl,
American Journal of Public Policy and Administration,https://ideas.repec.org/s/bfy/oajppa.html,oajppa,
American Journal of Social Sciences and Humanities,https://ideas.repec.org/s/onl/ajossh.html,ajossh,
American Journal of Statistics and Actuarial Sciences,https://ideas.repec.org/s/bfy/oajsas.html,oajsas,
American Journal of Supply Chain Management,https://ideas.repec.org/s/bfy/oajscm.html,oajscm,
American Journal of Technology,https://ideas.repec.org/s/cjk/ojtajt.html,ojtajt,
American Journal of Trade and Policy,https://ideas.repec.org/s/ris/ajotap.html,ajotap,
American Law and Economics Review,https://ideas.repec.org/s/oup/amlawe.html,amlawe,aler
American Political Science Review,https://ideas.repec.org/s/cup/apsrev.html,apsrev,
American Sociological Review,https://ideas.repec.org/s/sae/amsocr.html,amsocr,
AMS Review,https://ideas.repec.org/s/spr/amsrev.html,amsrev,
An Annual Book of University of Economics - Varna,https://ideas.repec.org/s/vrn/yrbook.html,yrbook,
Anadolu University Journal of Social Sciences,https://ideas.repec.org/s/and/journl.html,journl,
Anale. Seria Stiinte Economice. Timisoara,https://ideas.repec.org/s/tdt/annals.html,annals,
Analele Stiintifice ale Universitatii Alexandru Ioan Cuza din Iasi - Stiinte Economice 1954-2015),https://ideas.repec.org/s/aic/journl.html,journl,
Analisi Giuridica dell Economia,https://ideas.repec.org/s/mul/jknp7r.html,jknp7r,
Análisis - Revista del Mercado de Valores,https://ideas.repec.org/s/col/000417.html,000417,
Analítika,https://ideas.repec.org/s/inp/inpana.html,inpana,
Analyse et synthèse,https://ideas.repec.org/s/bfr/analys.html,analys,
Angelo Costa Lectures Serie,https://ideas.repec.org/s/rpo/leanco.html,leanco,
Animal Health Journal,https://ideas.repec.org/s/bhx/ojtahj.html,ojtahj,
Annales Universitatis Apulensis Series Oeconomica,https://ideas.repec.org/s/alu/journl.html,journl,
Annales. Ethics in Economic Life,https://ideas.repec.org/s/ann/journl.html,journl,
Annals - Economic and Administrative Series -,https://ideas.repec.org/s/but/anneas.html,anneas,
Annals - Economy Series,https://ideas.repec.org/s/cbu/jrnlec.html,jrnlec,
Annals - Juridical Science Series,https://ideas.repec.org/s/cbu/jrnlju.html,jrnlju,
Annals of Actuarial Science,https://ideas.repec.org/s/cup/anacsi.html,anacsi,
Annals of Computational Economics,https://ideas.repec.org/s/ajw/journl.html,journl,
Annals of Corporate Governance,https://ideas.repec.org/s/now/jnlacg.html,jnlacg,
Annals of Data Science,https://ideas.repec.org/s/spr/aodasc.html,aodasc,
Annals of Economics and Finance,https://ideas.repec.org/s/cuf/journl.html,journl,
Annals of Economics and Statistics,https://ideas.repec.org/s/adr/anecst.html,anecst,
Annals of Faculty of Economics,https://ideas.repec.org/s/ora/journl.html,journl,
Annals of Finance,https://ideas.repec.org/s/kap/annfin.html,annfin,
Annals of Financial Economics AFE),https://ideas.repec.org/s/wsi/afexxx.html,afexxx,
Annals of Operations Research,https://ideas.repec.org/s/spr/annopr.html,annopr,
Annals of Public and Cooperative Economics,https://ideas.repec.org/s/bla/annpce.html,annpce,
Annals of Social Sciences & Management studies,https://ideas.repec.org/s/adp/oajasm.html,oajasm,
"Annals of Spiru Haret University, Economic Series",https://ideas.repec.org/s/ris/sphecs.html,sphecs,
"Annals of the Fondazione Luigi Einaudi. An Interdisciplinary Journal of Economics, History and Political Science",https://ideas.repec.org/s/fle/journl.html,journl,
Annals of the Institute of Statistical Mathematics,https://ideas.repec.org/s/spr/aistmt.html,aistmt,
"Annals of the University of Craiova for Journalism, Communication and Management",https://ideas.repec.org/s/edt/aucjcm.html,aucjcm,
"Annals of the University of Petrosani, Economics",https://ideas.repec.org/s/pet/annals.html,annals,
Annals of Tourism Research,https://ideas.repec.org/s/eee/anture.html,anture,
Annals of University of Craiova - Economic Sciences Series,https://ideas.repec.org/s/aio/aucsse.html,aucsse,
Annual Proceedings,https://ideas.repec.org/s/qba/annpro.html,annpro,
Annual Report Domestic Open Market Operations,https://ideas.repec.org/s/fip/fednao.html,fednao,
"Annual Report, Globalization and Monetary Policy Institute",https://ideas.repec.org/s/fip/feddgm.html,feddgm,
Annual Report,https://ideas.repec.org/s/fip/fedbar.html,fedbar,
Annual Report,https://ideas.repec.org/s/fip/fedcar.html,fedcar,
Annual Report,https://ideas.repec.org/s/fip/feddar.html,feddar,
Annual Report,https://ideas.repec.org/s/fip/fedfar.html,fedfar,
Annual Report,https://ideas.repec.org/s/fip/fedhar.html,fedhar,
Annual Report,https://ideas.repec.org/s/fip/fedlar.html,fedlar,
Annual Report,https://ideas.repec.org/s/fip/fedmar.html,fedmar,
Annual Report,https://ideas.repec.org/s/fip/fedrar.html,fedrar,
Annual Review of Economics,https://ideas.repec.org/s/anr/reveco.html,reveco,
Annual Review of Financial Economics,https://ideas.repec.org/s/anr/refeco.html,refeco,
Annual Review of Resource Economics,https://ideas.repec.org/s/anr/reseco.html,reseco,
Anuario Centro de Estudios Económicos de la Empresa y el Desarrollo,https://ideas.repec.org/s/ake/aceeed.html,aceeed,
Anuarul Institutului de Cercetări Socio-Umane „C.S. Nicolăescu-Plopșor” “C.S. Nicolăescu-Plopşor” Institute for Research in Social Studies and Humanities Yearbook CSNIPSSH Yearbook)),https://ideas.repec.org/s/azn/journl.html,journl,
"Anuarul Universitatii „Petre Andrei” din Iasi Year-Book „Petre Andrei” University from Iasi, Fascicula: Asistenta Sociala, Sociologie, Psihologie Fascicle: Social Work, Sociology, Psychology",https://ideas.repec.org/s/lum/rev12a.html,rev12a,
"Anuarul Universitatii „Petre Andrei” din Iasi Year-Book „Petre Andrei” University from Iasi, Fascicula: Drept, Stiinte Economice, Stiinte Politice Fascicle: Law, Economic Sciences, Political Scien",https://ideas.repec.org/s/lum/rev11d.html,rev11d,
Applied Econometrics and International Development,https://ideas.repec.org/s/eaa/aeinde.html,aeinde,
Applied Econometrics Papers,https://ideas.repec.org/s/wse/journl.html,journl,
Applied Econometrics,https://ideas.repec.org/s/ris/apltrx.html,apltrx,
Applied Economic Analysis,https://ideas.repec.org/s/eme/aeapps.html,aeapps,
Applied Economic Perspectives and Policy,https://ideas.repec.org/s/oup/apecpp.html,apecpp,
Applied Economic Perspectives and Policy,https://ideas.repec.org/s/wly/apecpp.html,apecpp,
Applied Economics and Finance,https://ideas.repec.org/s/rfa/aefjnl.html,aefjnl,
Applied Economics Journal,https://ideas.repec.org/s/aej/apecjn.html,apecjn,
Applied Economics Letters,https://ideas.repec.org/s/taf/apeclt.html,apeclt,
Applied Economics Quarterly formerly: Konjunkturpolitik),https://ideas.repec.org/s/aeq/aeqaeq.html,aeqaeq,
Applied Economics Quarterly formerly: Konjunkturpolitik),https://ideas.repec.org/s/dah/aeqaeq.html,aeqaeq,
Applied Economics Teaching Resources AETR),https://ideas.repec.org/s/ags/aaeatr.html,aaeatr,
Applied Economics,https://ideas.repec.org/s/taf/applec.html,applec,
Applied Energy,https://ideas.repec.org/s/eee/appene.html,appene,
Applied Finance and Accounting,https://ideas.repec.org/s/rfa/afajnl.html,afajnl,
Applied Financial Economics Letters,https://ideas.repec.org/s/taf/raflxx.html,raflxx,
Applied Financial Economics,https://ideas.repec.org/s/taf/apfiec.html,apfiec,
Applied Health Economics and Health Policy,https://ideas.repec.org/s/spr/aphecp.html,aphecp,
Applied Marketing Analytics: The Peer-Reviewed Journal,https://ideas.repec.org/s/aza/ama000.html,ama000,
Applied Mathematical Finance,https://ideas.repec.org/s/taf/apmtfi.html,apmtfi,
Applied Mathematics and Computation,https://ideas.repec.org/s/eee/apmaco.html,apmaco,
APPLIED RESEARCH IN ADMINISTRATIVE SCIENCES,https://ideas.repec.org/s/rom/arasju.html,arasju,
Applied Research in Quality of Life,https://ideas.repec.org/s/spr/ariqol.html,ariqol,
Applied Stochastic Models and Data Analysis,https://ideas.repec.org/s/wly/apsmda.html,apsmda,
Applied Stochastic Models in Business and Industry,https://ideas.repec.org/s/wly/apsmbi.html,apsmbi,
APSTRACT: Applied Studies in Agribusiness and Commerce,https://ideas.repec.org/s/ags/apstra.html,apstra,
Apuntes del Cenes,https://ideas.repec.org/s/col/000152.html,000152,
Apuntes. Revista de ciencias sociales,https://ideas.repec.org/s/pai/apunup.html,apunup,
Arbeit,https://ideas.repec.org/s/bpj/arbeit.html,arbeit,
Archivos Revista Economía y Política.,https://ideas.repec.org/s/cun/journl.html,journl,
ARGOMENTI,https://ideas.repec.org/s/fan/argarg.html,argarg,
Argomenti,https://ideas.repec.org/s/urb/journl.html,journl,
ARS ADMINISTRANDI,https://ideas.repec.org/s/scn/031294.html,031294,
Art and Society,https://ideas.repec.org/s/bdz/arasoc.html,arasoc,
Arte y sociedad. Revista de investigación,https://ideas.repec.org/s/erv/aysays.html,aysays,
Artha Vijnana,https://ideas.repec.org/s/gok/arviv1.html,arviv1,
Arthaniti: Journal of Economic Theory and Practice,https://ideas.repec.org/s/sae/artjou.html,artjou,
Articles,https://ideas.repec.org/s/jte/journl.html,journl,
Artificial Intelligence and Digital Technology,https://ideas.repec.org/s/axf/aidtaa.html,aidtaa,
Asia and the Pacific Policy Studies,https://ideas.repec.org/s/bla/asiaps.html,asiaps,
Asia Europe Journal,https://ideas.repec.org/s/kap/asiaeu.html,asiaeu,
Asia Focus,https://ideas.repec.org/s/fip/fedfaf.html,fedfaf,
Asia Pacific Business Review,https://ideas.repec.org/s/taf/apbizr.html,apbizr,
Asia Pacific Journal of Innovation and Entrepreneurship,https://ideas.repec.org/s/eme/apjiep.html,apjiep,
Asia Pacific Journal of Management,https://ideas.repec.org/s/kap/asiapa.html,asiapa,
Asia Pacific Journal of Public Administration,https://ideas.repec.org/s/taf/rapaxx.html,rapaxx,
Asia-Pacific Development Journal,https://ideas.repec.org/s/unt/jnapdj.html,jnapdj,
Asia-Pacific Economic History Review,https://ideas.repec.org/s/wly/apechr.html,apechr,
Asia-Pacific Financial Markets,https://ideas.repec.org/s/kap/apfinm.html,apfinm,
Asia-Pacific Journal of Accounting & Economics,https://ideas.repec.org/s/taf/raaexx.html,raaexx,
Asia-Pacific Journal of Operational Research APJOR),https://ideas.repec.org/s/wsi/apjorx.html,apjorx,
Asia-Pacific Journal of Regional Science,https://ideas.repec.org/s/spr/apjors.html,apjors,
Asia-Pacific Journal of Risk and Insurance,https://ideas.repec.org/s/bpj/apjrin.html,apjrin,
Asia-Pacific Population Journal,https://ideas.repec.org/s/unt/jnappj.html,jnappj,
Asia-Pacific Sustainable Development Journal,https://ideas.repec.org/s/unt/japsdj.html,japsdj,
Asian Academy of Management Journal AAMJ),https://ideas.repec.org/s/usm/aamj00.html,aamj00,
Asian Academy of Management Journal of Accounting and Finance AAMJAF),https://ideas.repec.org/s/usm/journl.html,journl,
Asian Agricultural Research,https://ideas.repec.org/s/ags/asagre.html,asagre,
Asian Bulletin of Energy Economics and Technology,https://ideas.repec.org/s/aoj/abeeat.html,abeeat,
Asian Business & Management,https://ideas.repec.org/s/pal/abaman.html,abaman,
Asian Business Research Journal,https://ideas.repec.org/s/ajn/abrjou.html,abrjou,
Asian Business Review,https://ideas.repec.org/s/ris/asbure.html,asbure,
Asian Case Research Journal ACRJ),https://ideas.repec.org/s/wsi/acrjxx.html,acrjxx,
Asian Development Policy Review,https://ideas.repec.org/s/asi/adprev.html,adprev,
Asian Development Review ADR),https://ideas.repec.org/s/wsi/adrxxx.html,adrxxx,
Asian Development Review,https://ideas.repec.org/s/ris/adbadr.html,adbadr,
Asian Development Review,https://ideas.repec.org/s/tpr/adbadr.html,adbadr,
Asian Economic and Financial Review,https://ideas.repec.org/s/asi/aeafrj.html,aeafrj,
Asian Economic Journal,https://ideas.repec.org/s/bla/asiaec.html,asiaec,
Asian Economic Papers,https://ideas.repec.org/s/tpr/asiaec.html,asiaec,
Asian Economic Policy Review,https://ideas.repec.org/s/bla/asiapr.html,asiapr,
Asian Economics Letters,https://ideas.repec.org/s/ayb/jrnael.html,jrnael,
Asian Journal of Accounting Research,https://ideas.repec.org/s/eme/ajarpp.html,ajarpp,
"Asian Journal of Agricultural Extension, Economics & Sociology",https://ideas.repec.org/s/ags/ajaees.html,ajaees,
Asian Journal of Agriculture and Development,https://ideas.repec.org/s/ags/phajad.html,phajad,
Asian Journal of Agriculture and Development,https://ideas.repec.org/s/sag/seajad.html,seajad,
Asian Journal of Agriculture and Rural Development,https://ideas.repec.org/s/ags/ajosrd.html,ajosrd,
Asian Journal of Agriculture and Rural Development,https://ideas.repec.org/s/asi/ajosrd.html,ajosrd,
Asian Journal of Applied Economics Applied Economics Journal,https://ideas.repec.org/s/ris/apecjn.html,apecjn,
Asian Journal of Applied Economics,https://ideas.repec.org/s/ags/thkase.html,thkase,
Asian Journal of Computing and Engineering Technology,https://ideas.repec.org/s/bdu/oajcet.html,oajcet,
Asian Journal of Economic Modelling,https://ideas.repec.org/s/asi/ajemod.html,ajemod,
Asian Journal of Economics and Banking,https://ideas.repec.org/s/eme/ajebpp.html,ajebpp,
Asian Journal of Economics and Empirical Research,https://ideas.repec.org/s/aoj/ajeaer.html,ajeaer,
Asian Journal of Empirical Research,https://ideas.repec.org/s/asi/ajoerj.html,ajoerj,
Asian Journal of Finance & Accounting,https://ideas.repec.org/s/mth/ajfa88.html,ajfa88,
Asian Journal of Islamic Management AJIM),https://ideas.repec.org/s/uii/jrajim.html,jrajim,
Asian Journal of Law and Economics,https://ideas.repec.org/s/bpj/ajlecn.html,ajlecn,
Asian Journal of Management Cases,https://ideas.repec.org/s/sae/anjomc.html,anjomc,
Asian Journal of Social Sciences and Management Studies,https://ideas.repec.org/s/aoj/ajssms.html,ajssms,
Asian Journal of Sustainability and Social Responsibility,https://ideas.repec.org/s/spr/ajossr.html,ajossr,
Asian Management and Business Review,https://ideas.repec.org/s/uii/jrambr.html,jrambr,
Asian Review of Accounting,https://ideas.repec.org/s/eme/arapps.html,arapps,
Asian Social Science,https://ideas.repec.org/s/ibn/assjnl.html,assjnl,
Asian Themes in Social Sciences Research,https://ideas.repec.org/s/kpr/atissr.html,atissr,
Asian Themes in Social Sciences Research,https://ideas.repec.org/s/oap/atissr.html,atissr,
Asian-Pacific Economic Literature,https://ideas.repec.org/s/bla/apacel.html,apacel,
AStA Advances in Statistical Analysis,https://ideas.repec.org/s/spr/alstar.html,alstar,
AStA Wirtschafts- und Sozialstatistisches Archiv,https://ideas.repec.org/s/spr/astaws.html,astaws,
ASTIN Bulletin,https://ideas.repec.org/s/cup/astinb.html,astinb,
Athens Journal of Business & Economics,https://ideas.repec.org/s/ate/journl.html,journl,
Atlantic Economic Journal,https://ideas.repec.org/s/kap/atlecj.html,atlecj,
Audit and Accounting Review,https://ideas.repec.org/s/ris/aarumt.html,aarumt,
Audit.Ar,https://ideas.repec.org/s/lap/raudit.html,raudit,
Aussenwirtschaft,https://ideas.repec.org/s/usg/auswrt.html,auswrt,
Australasian Agribusiness Review,https://ideas.repec.org/s/ags/auagre.html,auagre,
